datetime,date,at_dry,at_wet,rh,raw,chk_note,chk_fail
22/03/1972 12:00:00,22/03/1972,0.00,0.00,55.00,55.00,"nc",""
23/03/1972 12:00:00,23/03/1972,0.00,0.00,54.00,54.00,"nc",""
24/03/1972 12:00:00,24/03/1972,0.00,0.00,62.00,62.00,"nc",""
25/03/1972 00:00:00,25/03/1972,0.00,0.00,0.00,0.00,"missing",""
26/03/1972 12:00:00,26/03/1972,0.00,0.00,61.00,61.00,"nc",""
27/03/1972 12:00:00,27/03/1972,0.00,0.00,61.00,61.00,"nc",""
28/03/1972 12:00:00,28/03/1972,0.00,0.00,69.00,69.00,"nc",""
29/03/1972 12:00:00,29/03/1972,0.00,0.00,62.00,62.00,"nc",""
30/03/1972 00:00:00,30/03/1972,0.00,0.00,0.00,0.00,"missing",""
31/03/1972 00:00:00,31/03/1972,0.00,0.00,0.00,0.00,"missing",""
01/04/1972 00:00:00,01/04/1972,0.00,0.00,0.00,0.00,"missing",""
02/04/1972 00:00:00,02/04/1972,0.00,0.00,0.00,0.00,"missing",""
03/04/1972 12:00:00,03/04/1972,0.00,0.00,64.00,64.00,"nc",""
04/04/1972 12:00:00,04/04/1972,0.00,0.00,61.00,61.00,"nc",""
05/04/1972 12:00:00,05/04/1972,0.00,0.00,63.00,63.00,"nc",""
06/04/1972 12:00:00,06/04/1972,0.00,0.00,66.00,66.00,"nc",""
07/04/1972 12:00:00,07/04/1972,0.00,0.00,69.00,69.00,"nc",""
08/04/1972 00:00:00,08/04/1972,0.00,0.00,0.00,0.00,"missing",""
09/04/1972 00:00:00,09/04/1972,0.00,0.00,0.00,0.00,"missing",""
10/04/1972 12:00:00,10/04/1972,0.00,0.00,89.00,89.00,"nc",""
11/04/1972 12:00:00,11/04/1972,0.00,0.00,98.00,98.00,"nc",""
12/04/1972 12:00:00,12/04/1972,0.00,0.00,69.00,69.00,"nc",""
13/04/1972 12:00:00,13/04/1972,0.00,0.00,70.00,70.00,"nc",""
14/04/1972 12:00:00,14/04/1972,0.00,0.00,70.00,70.00,"nc",""
15/04/1972 00:00:00,15/04/1972,0.00,0.00,0.00,0.00,"missing",""
16/04/1972 00:00:00,16/04/1972,0.00,0.00,0.00,0.00,"missing",""
17/04/1972 12:00:00,17/04/1972,0.00,0.00,66.00,66.00,"nc",""
18/04/1972 12:00:00,18/04/1972,0.00,0.00,89.00,89.00,"nc",""
19/04/1972 12:00:00,19/04/1972,0.00,0.00,77.00,77.00,"nc",""
20/04/1972 12:00:00,20/04/1972,0.00,0.00,84.00,84.00,"nc",""
21/04/1972 12:00:00,21/04/1972,0.00,0.00,83.00,83.00,"nc",""
22/04/1972 00:00:00,22/04/1972,0.00,0.00,0.00,0.00,"missing",""
23/04/1972 00:00:00,23/04/1972,0.00,0.00,0.00,0.00,"missing",""
24/04/1972 12:00:00,24/04/1972,0.00,0.00,83.00,83.00,"nc",""
25/04/1972 00:00:00,25/04/1972,0.00,0.00,0.00,0.00,"missing",""
26/04/1972 12:00:00,26/04/1972,0.00,0.00,69.00,69.00,"nc",""
27/04/1972 12:00:00,27/04/1972,0.00,0.00,67.00,67.00,"nc",""
28/04/1972 12:00:00,28/04/1972,0.00,0.00,80.00,80.00,"nc",""
29/04/1972 00:00:00,29/04/1972,0.00,0.00,0.00,0.00,"missing",""
30/04/1972 00:00:00,30/04/1972,0.00,0.00,0.00,0.00,"missing",""
01/05/1972 12:00:00,01/05/1972,0.00,0.00,76.00,76.00,"nc",""
02/05/1972 12:00:00,02/05/1972,0.00,0.00,92.00,92.00,"nc",""
03/05/1972 12:00:00,03/05/1972,0.00,0.00,78.00,78.00,"nc",""
04/05/1972 12:00:00,04/05/1972,0.00,0.00,81.00,81.00,"nc",""
05/05/1972 12:00:00,05/05/1972,0.00,0.00,73.00,73.00,"nc",""
06/05/1972 00:00:00,06/05/1972,0.00,0.00,0.00,0.00,"missing",""
07/05/1972 00:00:00,07/05/1972,0.00,0.00,0.00,0.00,"missing",""
08/05/1972 12:00:00,08/05/1972,0.00,0.00,74.00,74.00,"nc",""
09/05/1972 12:00:00,09/05/1972,0.00,0.00,94.00,94.00,"nc",""
10/05/1972 12:00:00,10/05/1972,0.00,0.00,83.00,83.00,"nc",""
11/05/1972 12:00:00,11/05/1972,0.00,0.00,75.00,75.00,"nc",""
12/05/1972 12:00:00,12/05/1972,0.00,0.00,74.00,74.00,"nc",""
13/05/1972 00:00:00,13/05/1972,0.00,0.00,0.00,0.00,"missing",""
14/05/1972 00:00:00,14/05/1972,0.00,0.00,0.00,0.00,"missing",""
15/05/1972 12:00:00,15/05/1972,0.00,0.00,98.00,98.00,"nc",""
16/05/1972 12:00:00,16/05/1972,0.00,0.00,78.00,78.00,"nc",""
17/05/1972 12:00:00,17/05/1972,0.00,0.00,64.00,64.00,"nc",""
18/05/1972 12:00:00,18/05/1972,0.00,0.00,73.00,73.00,"nc",""
19/05/1972 12:00:00,19/05/1972,0.00,0.00,67.00,67.00,"nc",""
20/05/1972 00:00:00,20/05/1972,0.00,0.00,0.00,0.00,"missing",""
21/05/1972 00:00:00,21/05/1972,0.00,0.00,0.00,0.00,"missing",""
22/05/1972 12:00:00,22/05/1972,0.00,0.00,73.00,73.00,"nc",""
23/05/1972 12:00:00,23/05/1972,0.00,0.00,70.00,70.00,"nc",""
24/05/1972 12:00:00,24/05/1972,0.00,0.00,72.00,72.00,"nc",""
25/05/1972 12:00:00,25/05/1972,0.00,0.00,83.00,83.00,"nc",""
26/05/1972 12:00:00,26/05/1972,0.00,0.00,76.00,76.00,"nc",""
27/05/1972 00:00:00,27/05/1972,0.00,0.00,0.00,0.00,"missing",""
28/05/1972 00:00:00,28/05/1972,0.00,0.00,0.00,0.00,"missing",""
29/05/1972 00:00:00,29/05/1972,0.00,0.00,0.00,0.00,"missing",""
30/05/1972 12:00:00,30/05/1972,0.00,0.00,80.00,80.00,"nc",""
31/05/1972 12:00:00,31/05/1972,0.00,0.00,83.00,83.00,"nc",""
01/06/1972 12:00:00,01/06/1972,0.00,0.00,71.00,71.00,"nc",""
02/06/1972 00:00:00,02/06/1972,0.00,0.00,0.00,0.00,"missing",""
03/06/1972 00:00:00,03/06/1972,0.00,0.00,0.00,0.00,"missing",""
04/06/1972 00:00:00,04/06/1972,0.00,0.00,0.00,0.00,"missing",""
05/06/1972 12:00:00,05/06/1972,0.00,0.00,86.00,86.00,"nc",""
06/06/1972 12:00:00,06/06/1972,0.00,0.00,82.00,82.00,"nc",""
07/06/1972 12:00:00,07/06/1972,0.00,0.00,92.00,92.00,"nc",""
08/06/1972 12:00:00,08/06/1972,0.00,0.00,89.00,89.00,"nc",""
09/06/1972 12:00:00,09/06/1972,0.00,0.00,80.00,80.00,"nc",""
10/06/1972 00:00:00,10/06/1972,0.00,0.00,0.00,0.00,"missing",""
11/06/1972 00:00:00,11/06/1972,0.00,0.00,0.00,0.00,"missing",""
12/06/1972 12:00:00,12/06/1972,0.00,0.00,96.00,96.00,"nc",""
13/06/1972 12:00:00,13/06/1972,0.00,0.00,63.00,63.00,"nc",""
14/06/1972 12:00:00,14/06/1972,0.00,0.00,80.00,80.00,"nc",""
15/06/1972 12:00:00,15/06/1972,0.00,0.00,66.00,66.00,"nc",""
16/06/1972 12:00:00,16/06/1972,0.00,0.00,75.00,75.00,"nc",""
17/06/1972 00:00:00,17/06/1972,0.00,0.00,0.00,0.00,"missing",""
18/06/1972 00:00:00,18/06/1972,0.00,0.00,0.00,0.00,"missing",""
19/06/1972 12:00:00,19/06/1972,0.00,0.00,98.00,98.00,"nc",""
20/06/1972 12:00:00,20/06/1972,0.00,0.00,98.00,98.00,"nc",""
21/06/1972 12:00:00,21/06/1972,0.00,0.00,74.00,74.00,"nc",""
22/06/1972 12:00:00,22/06/1972,0.00,0.00,76.00,76.00,"nc",""
23/06/1972 12:00:00,23/06/1972,0.00,0.00,98.00,98.00,"nc",""
24/06/1972 00:00:00,24/06/1972,0.00,0.00,0.00,0.00,"missing",""
25/06/1972 00:00:00,25/06/1972,0.00,0.00,0.00,0.00,"missing",""
26/06/1972 12:00:00,26/06/1972,0.00,0.00,86.00,86.00,"nc",""
