datetime,date,atmx,raw,chk_note,chk_fail
25/06/1972 12:00:00,25/06/1972,31.0000,31.0000,"nc",""
26/06/1972 12:00:00,26/06/1972,29.0000,29.0000,"nc",""
27/06/1972 12:00:00,27/06/1972,33.0000,33.0000,"nc",""
28/06/1972 12:00:00,28/06/1972,33.5000,33.5000,"nc",""
29/06/1972 12:00:00,29/06/1972,33.5000,33.5000,"nc",""
02/07/1972 12:00:00,02/07/1972,33.0000,33.0000,"nc",""
04/07/1972 12:00:00,04/07/1972,32.5000,32.5000,"nc",""
05/07/1972 12:00:00,05/07/1972,31.0000,31.0000,"nc",""
06/07/1972 12:00:00,06/07/1972,30.5000,30.5000,"nc",""
09/07/1972 12:00:00,09/07/1972,33.0000,33.0000,"nc",""
10/07/1972 12:00:00,10/07/1972,33.0000,33.0000,"nc",""
11/07/1972 12:00:00,11/07/1972,29.0000,29.0000,"nc",""
12/07/1972 12:00:00,12/07/1972,31.0000,31.0000,"nc",""
13/07/1972 12:00:00,13/07/1972,32.5000,32.5000,"nc",""
16/07/1972 12:00:00,16/07/1972,33.5000,33.5000,"nc",""
17/07/1972 12:00:00,17/07/1972,33.0000,33.0000,"nc",""
18/07/1972 12:00:00,18/07/1972,32.5000,32.5000,"nc",""
19/07/1972 12:00:00,19/07/1972,33.0000,33.0000,"nc",""
20/07/1972 12:00:00,20/07/1972,29.0000,29.0000,"nc",""
23/07/1972 12:00:00,23/07/1972,32.5000,32.5000,"nc",""
24/07/1972 12:00:00,24/07/1972,29.5000,29.5000,"nc",""
25/07/1972 12:00:00,25/07/1972,31.5000,31.5000,"nc",""
26/07/1972 12:00:00,26/07/1972,33.0000,33.0000,"nc",""
27/07/1972 12:00:00,27/07/1972,32.5000,32.5000,"nc",""
30/07/1972 12:00:00,30/07/1972,32.5000,32.5000,"nc",""
